gene	Citrobacter	Salmonella	Escherichia	Klebsiella
accA	Core essential	Core essential	Core essential	Core essential
accB	Core essential	Core essential	Core essential	Core essential
accC	Core essential	Core essential	Core essential	Core essential
accD	Core essential	Core essential	Core essential	Core essential
acpP	Core essential	Core essential	Core essential	Core essential
acpS	Core essential	Core essential	Core essential	Core essential
adk	Core essential	Core essential	Core essential	Core essential
alaS	Core essential	Core essential	Core essential	Core essential
argS	Core essential	Core essential	Core essential	Core essential
asd	Core essential	Core essential	Core essential	Core essential
asnS	Core essential	Core essential	Core essential	Core essential
aspS	Core essential	Core essential	Core essential	Core essential
bamA	Core essential	Core essential	Core essential	Core essential
bamD	Core essential	Core essential	Core essential	Core essential
cca	Core essential	Core essential	Core essential	Core essential
coaA	Core essential	Core essential	Core essential	Core essential
coaD	Core essential	Core essential	Core essential	Core essential
coaE	Core essential	Core essential	Core essential	Core essential
cysS	Core essential	Core essential	Core essential	Core essential
dapA	Core essential	Core essential	Core essential	Core essential
dapB	Core essential	Core essential	Core essential	Core essential
dapD	Core essential	Core essential	Core essential	Core essential
dapE	Core essential	Core essential	Core essential	Core essential
der	Core essential	Core essential	Core essential	Core essential
dfp	Core essential	Core essential	Core essential	Core essential
dnaA	Core essential	Core essential	Core essential	Core essential
dnaB	Core essential	Core essential	Core essential	Core essential
dnaC	Core essential	Core essential	Core essential	Core essential
dnaE	Core essential	Core essential	Core essential	Core essential
dnaG	Core essential	Core essential	Core essential	Core essential
dnaN	Core essential	Core essential	Core essential	Core essential
dnaQ	Core essential	Core essential	Core essential	Core essential
dnaT	Core essential	Core essential	Core essential	Core essential
dnaX	Core essential	Core essential	Core essential	Core essential
dut	Core essential	Core essential	Core essential	Core essential
dxr	Core essential	Core essential	Core essential	Core essential
dxs	Core essential	Core essential	Core essential	Core essential
engB	Core essential	Core essential	Core essential	Core essential
eno	Core essential	Core essential	Core essential	Core essential
era	Core essential	Core essential	Core essential	Core essential
erpA	Core essential	Core essential	Core essential	Core essential
fabA	Core essential	Core essential	Core essential	Core essential
fabB	Core essential	Core essential	Core essential	Core essential
fabD	Core essential	Core essential	Core essential	Core essential
fabG	Core essential	Core essential	Core essential	Core essential
fabH	Core essential	Core essential	Core essential	Core essential
fabI	Core essential	Core essential	Core essential	Core essential
fabZ	Core essential	Core essential	Core essential	Core essential
fbaA	Core essential	Core essential	Core essential	Core essential
ffh	Core essential	Core essential	Core essential	Core essential
fldA	Core essential	Core essential	Core essential	Core essential
folC	Core essential	Core essential	Core essential	Core essential
folE	Core essential	Core essential	Core essential	Core essential
folK	Core essential	Core essential	Core essential	Core essential
frr	Core essential	Core essential	Core essential	Core essential
ftsA	Core essential	Core essential	Core essential	Core essential
ftsH	Core essential	Core essential	Core essential	Core essential
ftsI	Core essential	Core essential	Core essential	Core essential
ftsQ	Core essential	Core essential	Core essential	Core essential
ftsY	Core essential	Core essential	Core essential	Core essential
ftsZ	Core essential	Core essential	Core essential	Core essential
fusA	Core essential	Core essential	Core essential	Core essential
gapA	Core essential	Core essential	Core essential	Core essential
gcp	Core essential	Core essential	Core essential	Core essential
glmM	Core essential	Core essential	Core essential	Core essential
glmU	Core essential	Core essential	Core essential	Core essential
glnS	Core essential	Core essential	Core essential	Core essential
gltX	Core essential	Core essential	Core essential	Core essential
glyQ	Core essential	Core essential	Core essential	Core essential
glyS	Core essential	Core essential	Core essential	Core essential
gmk	Core essential	Core essential	Core essential	Core essential
groL	Core essential	Core essential	Core essential	Core essential
groS	Core essential	Core essential	Core essential	Core essential
gyrA	Core essential	Core essential	Core essential	Core essential
gyrB	Core essential	Core essential	Core essential	Core essential
hemA	Core essential	Core essential	Core essential	Core essential
hemC	Core essential	Core essential	Core essential	Core essential
hemD	Core essential	Core essential	Core essential	Core essential
hemE	Core essential	Core essential	Core essential	Core essential
hemG	Core essential	Core essential	Core essential	Core essential
hemH	Core essential	Core essential	Core essential	Core essential
hisS	Core essential	Core essential	Core essential	Core essential
holA	Core essential	Core essential	Core essential	Core essential
holB	Core essential	Core essential	Core essential	Core essential
ileS	Core essential	Core essential	Core essential	Core essential
infB	Core essential	Core essential	Core essential	Core essential
infC	Core essential	Core essential	Core essential	Core essential
ispB	Core essential	Core essential	Core essential	Core essential
ispE	Core essential	Core essential	Core essential	Core essential
ispF	Core essential	Core essential	Core essential	Core essential
ispG	Core essential	Core essential	Core essential	Core essential
ispH	Core essential	Core essential	Core essential	Core essential
kdsA	Core essential	Core essential	Core essential	Core essential
kdtA	Core essential	Core essential	Core essential	Core essential
lepB	Core essential	Core essential	Core essential	Core essential
leuS	Core essential	Core essential	Core essential	Core essential
lexA	Core essential	Core essential	Core essential	Core essential
lgt	Core essential	Core essential	Core essential	Core essential
ligA	Core essential	Core essential	Core essential	Core essential
lnt	Core essential	Core essential	Core essential	Core essential
lolA	Core essential	Core essential	Core essential	Core essential
lolB	Core essential	Core essential	Core essential	Core essential
lolC	Core essential	Core essential	Core essential	Core essential
lolD	Core essential	Core essential	Core essential	Core essential
lolE	Core essential	Core essential	Core essential	Core essential
lptA	Core essential	Core essential	Core essential	Core essential
lptB	Core essential	Core essential	Core essential	Core essential
lptD	Core essential	Core essential	Core essential	Core essential
lpxA	Core essential	Core essential	Core essential	Core essential
lpxB	Core essential	Core essential	Core essential	Core essential
lpxC	Core essential	Core essential	Core essential	Core essential
lpxD	Core essential	Core essential	Core essential	Core essential
lpxH	Core essential	Core essential	Core essential	Core essential
lpxK	Core essential	Core essential	Core essential	Core essential
lspA	Core essential	Core essential	Core essential	Core essential
lysS	Core essential	Core essential	Core essential	Core essential
metG	Core essential	Core essential	Core essential	Core essential
metK	Core essential	Core essential	Core essential	Core essential
mraY	Core essential	Core essential	Core essential	Core essential
mrdB	Core essential	Core essential	Core essential	Core essential
mreB	Core essential	Core essential	Core essential	Core essential
mreC	Core essential	Core essential	Core essential	Core essential
msbA	Core essential	Core essential	Core essential	Core essential
mukB	Core essential	Core essential	Core essential	Core essential
mukE	Core essential	Core essential	Core essential	Core essential
mukF	Core essential	Core essential	Core essential	Core essential
murA	Core essential	Core essential	Core essential	Core essential
murB	Core essential	Core essential	Core essential	Core essential
murC	Core essential	Core essential	Core essential	Core essential
murD	Core essential	Core essential	Core essential	Core essential
murE	Core essential	Core essential	Core essential	Core essential
murF	Core essential	Core essential	Core essential	Core essential
murG	Core essential	Core essential	Core essential	Core essential
murI	Core essential	Core essential	Core essential	Core essential
mviN	Core essential	Core essential	Core essential	Core essential
nadD	Core essential	Core essential	Core essential	Core essential
nadE	Core essential	Core essential	Core essential	Core essential
nusG	Core essential	Core essential	Core essential	Core essential
obg	Core essential	Core essential	Core essential	Core essential
parE	Core essential	Core essential	Core essential	Core essential
