WORD	Salmonella	Not
protein	510	230
subunit	263	56
ribosomal	209	70
synthetase	104	42
hypothetical	62	42
conserved	57	36
synthase	56	17
cell	56	0
division	50	0
factor	47	41
membrane	46	18
polymerase	42	24
kinase	40	12
chain	39	6
alpha	35	0
ligase	24	6
transferase	23	6
riboflavin	23	0
probable	22	10
beta	22	6
precursor	20	12
biosynthesis	18	12
lipoprotein	18	6
atp-binding	18	0
signal	18	0
carboxylase	18	0
transporter	18	0
carrier	17	5
outer	16	0
udp-n-acetylglucosamine	16	0
transcription	14	0
shape-determining	12	12
gtp-binding	12	12
replication	12	6
translocase	12	6
acyltransferase	12	6
dna-directed	12	6
preprotein	12	6
initiation	12	6
topoisomerase	12	6
transport	12	2
gyrase	12	0
penicillin-binding	12	0
beta-subunit	12	0
delta	12	0
peptidase	12	0
pyrophosphokinase	12	0
integral	12	0
glycine-trna	12	0
putative	11	19
shock	11	8
heat	11	8
reductase	11	6
elongation	11	0
phenylalanyl-trna	10	0
glutamyl-trna	10	0
dehydrogenase	9	18
cyclohydrolase	9	5
antitermination	8	0
termination	8	0
trna	6	15
component	6	11
methyltransferase	6	8
4-phosphate	6	6
decarboxylase	6	6
ubiquinone	6	6
inner	6	6
helicase	6	6
chloroplast	6	4
possible	6	4
biotin	6	1
sigma-70	6	0
coa-acyl	6	0
alanyl	6	0
glucosamine--fructose-6-phosphate	6	0
prolyl-trna	6	0
-kinase	6	0
dna-binding	6	0
if-1	6	0
valyl-trna	6	0
ribose-phosphate	6	0
1-acyl-glycerol-3-phosphate	6	0
roda	6	0
aspartate-semialdehyde	6	0
sece	6	0
secd	6	0
adenylyltransferase	6	0
nopimelate--d-alan	6	0
4-cyclodiphosphate	6	0
suppressor	6	0
ftsa	6	0
grpe	6	0
ftsw	6	0
ftsq	6	0
flavodoxin	6	0
ftsz	6	0
apolipoprotein	6	0
undecaprenyl	6	0
nucleotidohydrolase	6	0
adenylate	6	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	6	0
guanine-n1	6	0
porphobilinogen	6	0
chromosomal	6	0
mesj	6	0
leucyl-trna	6	0
glycerol-3-phosphate	6	0
deaminase	6	0
pyrophosphatase	6	0
pmm-family	6	0
n-acyltransferase	6	0
pyrophosphorylase	6	0
tyrosyl-trna	6	0
initiator	6	0
octaprenyl-diphosphate	6	0
glycoprotease	6	0
extragenic	6	0
octaprenyl	6	0
seryl-trna	6	0
glutaminyl-trna	6	0
replicative	6	0
phosphatidylserine	6	0
pyrophosphate	6	0
killing	6	0
phosphoglycerate	6	0
single-strand	6	0
acetyl-coa	6	0
folylpolyglutamate	6	0
4-dihydroxy-2-butanone	6	0
aminotransferase	6	0
carboxyl	6	0
suhb	6	0
lipid-a-disaccharide	6	0
acetyl-coenzyme	6	0
1-deoxyxylulose-5-phosphate	6	0
malonyl	6	0
cycle	6	0
proenzyme	6	0
diacylglyceryl	6	0
ferrochelatase	6	0
kica	6	0
kicb	6	0
-triphosphate	6	0
7-dimethyl-8-ribityllumazine	6	0
groes	6	0
particle	6	0
tetraacyldisaccharide	6	0
asparaginyl-trna	6	0
inorganic	6	0
udp-n-acetylenolpyruvoylglucosamine	6	0
ribd	6	0
ribf	6	0
omega	6	0
transacylase	6	0
isoleucyl-trna	6	0
1-carboxyvinyltransferase	6	0
msba	6	0
udp-n-acetylmuramoylalanyl-d-glutamyl-2	6	0
4-hydroxybenzoate	6	0
pantothenate	6	0
phosphopantetheine	6	0
recognition	6	0
guanylate	6	0
deoxyuridine	6	0
prolipoprotein	6	0
acyl	5	11
methionyl-trna	5	6
thymidylate	5	6
protein-export	5	5
reductoisomerase	5	0
1-deoxy-d-xylulose	5	0
hsp24	5	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	5	0
threonyl-trna	5	0
enolase	5	0
alanyl-trna	5	0
5-phosphate	5	0
s-adenosylmethionine	5	0
2-c-methyl-d-erythritol	4	6
udp-n-acetylmuramoyl-l-alanine	4	0
6-diami	4	0
6-dia	4	0
alanine	4	0
dephospho-coa	4	0
n-acetylglucosamine	4	0
d-glutamate	4	0
uridine	4	0
minopim	4	0
homolog	4	0
n-acetylmuramyl-	4	0
udp-n-acetylmuramate	4	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	3	0
methylenetetrahydrofolate	3	0
pyrophosphoryl-undecaprenol	3	0
-monophosphate	3	0
pentapeptide	3	0
methenyltetrahydrofolate	3	0
holliday	2	0
fold	2	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	2	0
udp-n-acetylmuramoylalanine--d-glutamate	2	0
6-diam	2	0
junction	2	0
ftsb	2	0
outer-membrane	2	0
lolb	2	0
resolvase	2	0
phers	2	0
minopimelate	2	0
2c-methyl-d-erythritol	2	0
6-di	2	0
udp-n-acetylmuramate--l-alanine	2	0
udp-n-acetylglucosamine--n-acetylmuramyl-	2	0
uridylate	2	0
bifunctional	2	0
includes	2	0
exported	1	4
monophosphate	1	2
export	1	1
ef-ts	1	0
2-amino-4-hydroxy-6-	1	0
metrs	1	0
udp-3-o-acyl-glcnac	1	0
hydroxymethyldihydropteridine	1	0
glutr	1	0
thrrs	1	0
2-phospho-d-glycerate	1	0
tide	1	0
alars	1	0
glurs	1	0
region	1	0
dtmp	1	0
phospho-n-acetylmuramoyl-pentapeptide-	1	0
hydro-lyase	1	0
deacetylase	1	0
-pyrophosphoryl-undecaprenol	1	0
pentapep	1	0
cytidylyltransferase	0	18
aldolase	0	17
acid	0	12
dihydrolipoamide	0	12
primosomal	0	12
uroporphyrinogen	0	12
dihydrodipicolinate	0	11
diphosphate	0	9
rrna	0	8
processing	0	8
ribonuclease	0	7
d-3-hydroxydecanoyl-	0	6
thiamine-monophosphate	0	6
subunits	0	6
protoporphyrinogen	0	6
4-alpha-l-fucosyltransferase	0	6
substance	0	6
aminopeptidase	0	6
acetyltransferase	0	6
if-3	0	6
phosphotidylglycerophosphate	0	6
primase	0	6
virulence	0	6
polypeptide	0	6
seca	0	6
secf	0	6
carbonic	0	6
diaminopimelate	0	6
n-succinyltransferase	0	6
carrier-protein	0	6
dihydroneopterin	0	6
pyruvate	0	6
lauroyl	0	6
2-octaprenyl-6-methoxyphenol	0	6
atp-dependent	0	6
monooxygenase	0	6
-subunit	0	6
solvent	0	6
organic	0	6
epimerase	0	6
mvin	0	6
utilization	0	6
lipoic	0	6
anhydrase	0	6
translation	0	6
dehydratase	0	6
regulator	0	6
ubie	0	6
formyltransferase	0	6
dnak	0	6
desuccinylase	0	6
peptide	0	6
nucleotidyltransferase	0	6
release	0	6
o-phosphatidyltransferase	0	6
methionine	0	6
tolerance	0	6
carbon	0	6
oxidase	0	6
menaquinone	0	6
racemase	0	6
lytb	0	6
6-bisphosphate	0	6
glyceraldehyde	0	6
3-deoxy-d-manno-octulosonic-acid	0	6
hydroxylase	0	6
groel	0	6
deformylase	0	6
ribosome-binding	0	6
lipid	0	6
rare	0	6
phosphatidate	0	6
gamma	0	6
delta-aminolevulinic	0	6
3-deoxy-manno-octulosonate	0	6
sigma-32	0	6
geranyltranstransferase	0	6
desulfurase	0	6
glutamate	0	6
storage	0	6
cdp-diacylglycerol-serine	0	6
3-phosphate	0	6
5-tetrahydropyridine-2-carboxylate	0	6
fructose	0	6
rnase	0	5
-bis	0	5
p15b	0	5
histidyl-trna	0	5
succinyl-diaminopimelate	0	5
nh3-dependent	0	5
2-dehydro-3-deoxyphosphooctonate	0	5
recycling	0	5
3-demethylubiquinone-9	0	5
hydrolase	0	5
site	0	5
ribosome	0	5
-hydroxymyristol	0	5
guanosine-3	0	5
aspartyl-trna	0	5
peptidyl-trna	0	5
arginyl-trna	0	5
3-methyltransferase	0	5
dehydrase	0	5
4-diphosphocytidyl-2-c-methyl-d-erythritol	0	4
4-hydroxy-3-methylbut-2-en-1-yl	0	4
rimm	0	4
-pyrophosphohydrolase	0	4
5-methylaminomethyl-2-thiouridylate	0	4
rf-1	0	4
l-cysteine	0	3
lysyl-trna	0	3
cysteine	0	3
-methyltransferase	0	3
lysyl	0	3
lysrs	0	2
isopentenyl	0	2
chaperone	0	2
enga	0	2
gcpe	0	2
lipopolysaccharide	0	2
repressor	0	1
hisrs	0	1
asprs	0	1
pyrophosphohydrolase	0	1
dhhb	0	1
dhdps	0	1
succinyldiaminopimelate	0	1
operon	0	1
gtp-ch-i	0	1
argrs	0	1
kdops	0	1
SUM	3070	1624
