essential/absent	Citrobacter_rodentium_ICC168	Escherichia_coli_UPEC_ST131	Escherichia_coli_ETEC_CS17	Escherichia_coli_ETEC_H10407	Salmonella_typhi_Ty2	Salmonella_enteritidis_P125109	Salmonella_typhimurium_SL1344	Salmonella_typhimurium_A130	Salmonella_typhimurium_D23580	Enterobacter_cloacae_NCTC_9394	Klebsiella_pneumoniae_RH201207	Klebsiella_pneumoniae_Ecl8
Citrobacter_rodentium_ICC168	0	26	116	57	10	59	68	19	37	44	47	26	
Escherichia_coli_UPEC_ST131	57	0	90	61	18	66	79	29	44	45	48	33	
Escherichia_coli_ETEC_CS17	60	16	0	38	19	69	80	29	45	46	54	37	
Escherichia_coli_ETEC_H10407	60	22	66	0	16	61	78	22	39	44	47	29	
Salmonella_typhi_Ty2	54	27	117	58	0	50	45	14	19	44	50	32	
Salmonella_enteritidis_P125109	54	28	121	56	11	0	45	15	21	45	51	31	
Salmonella_typhimurium_SL1344	52	27	117	56	10	30	0	12	5	45	48	30	
Salmonella_typhimurium_A130	55	32	122	61	13	42	26	0	14	47	49	35	
Salmonella_typhimurium_D23580	53	29	121	57	10	31	22	8	0	45	47	32	
Enterobacter_cloacae_NCTC_9394	112	90	183	125	83	122	138	84	100	0	102	81	
Klebsiella_pneumoniae_RH201207	57	30	136	65	14	71	81	24	43	31	0	14	
Klebsiella_pneumoniae_Ecl8	59	30	141	68	14	67	84	25	46	37	26	0	
