essential/essential	Citrobacter_rodentium_ICC168	Escherichia_coli_UPEC_ST131	Escherichia_coli_ETEC_CS17	Escherichia_coli_ETEC_H10407	Salmonella_typhi_Ty2	Salmonella_enteritidis_P125109	Salmonella_typhimurium_SL1344	Salmonella_typhimurium_A130	Salmonella_typhimurium_D23580	Enterobacter_cloacae_NCTC_9394	Klebsiella_pneumoniae_RH201207	Klebsiella_pneumoniae_Ecl8
Citrobacter_rodentium_ICC168	392	270	242	268	273	258	261	277	263	221	267	254	
Escherichia_coli_UPEC_ST131	270	360	258	297	298	258	268	304	274	230	292	259	
Escherichia_coli_ETEC_CS17	242	258	458	290	247	243	246	250	246	204	246	239	
Escherichia_coli_ETEC_H10407	268	297	290	402	291	267	272	293	276	230	285	255	
Salmonella_typhi_Ty2	273	298	247	291	377	266	278	322	286	236	306	266	
Salmonella_enteritidis_P125109	258	258	243	267	266	376	271	272	267	210	263	250	
Salmonella_typhimurium_SL1344	261	268	246	272	278	271	390	283	299	210	271	248	
Salmonella_typhimurium_A130	277	304	250	293	322	272	283	416	298	235	305	264	
Salmonella_typhimurium_D23580	263	274	246	276	286	267	299	298	355	217	272	252	
Enterobacter_cloacae_NCTC_9394	221	230	204	230	236	210	210	235	217	298	238	208	
Klebsiella_pneumoniae_RH201207	267	292	246	285	306	263	271	305	272	238	397	272	
Klebsiella_pneumoniae_Ecl8	254	259	239	255	266	250	248	264	252	208	272	325	
