essential/non-essential	Citrobacter_rodentium_ICC168	Escherichia_coli_UPEC_ST131	Escherichia_coli_ETEC_CS17	Escherichia_coli_ETEC_H10407	Salmonella_typhi_Ty2	Salmonella_enteritidis_P125109	Salmonella_typhimurium_SL1344	Salmonella_typhimurium_A130	Salmonella_typhimurium_D23580	Enterobacter_cloacae_NCTC_9394	Klebsiella_pneumoniae_RH201207	Klebsiella_pneumoniae_Ecl8
Citrobacter_rodentium_ICC168	0.0	0.17777777777777778	0.2183406113537118	0.19154228855721392	0.2493368700265252	0.15691489361702127	0.1564102564102564	0.28846153846153844	0.15492957746478872	0.11073825503355705	0.20906801007556675	0.13846153846153847	
Escherichia_coli_UPEC_ST131	0.16581632653061223	0.0	0.24017467248908297	0.10945273631840796	0.16180371352785147	0.13829787234042554	0.11025641025641025	0.19951923076923078	0.10422535211267606	0.07718120805369127	0.14357682619647355	0.10153846153846154	
Escherichia_coli_ETEC_CS17	0.22959183673469388	0.2388888888888889	0.0	0.18407960199004975	0.29442970822281167	0.1702127659574468	0.1641025641025641	0.3293269230769231	0.18028169014084508	0.1610738255033557	0.24433249370277077	0.15076923076923077	
Escherichia_coli_ETEC_H10407	0.16326530612244897	0.11388888888888889	0.22270742358078602	0.0	0.1856763925729443	0.1276595744680851	0.10256410256410256	0.24278846153846154	0.11267605633802817	0.08053691275167785	0.163727959697733	0.12615384615384614	
Salmonella_typhi_Ty2	0.16581632653061223	0.09722222222222222	0.2052401746724891	0.1318407960199005	0.0	0.1595744680851064	0.1717948717948718	0.19230769230769232	0.14084507042253522	0.06040268456375839	0.10327455919395466	0.08307692307692308	
Salmonella_enteritidis_P125109	0.20408163265306123	0.20555555555555555	0.2052401746724891	0.19651741293532338	0.26525198938992045	0.0	0.18974358974358974	0.31009615384615385	0.18873239436619718	0.14429530201342283	0.20906801007556675	0.13538461538461538	
Salmonella_typhimurium_SL1344	0.20153061224489796	0.18055555555555555	0.2074235807860262	0.18407960199004975	0.23607427055702918	0.19946808510638298	0.0	0.29086538461538464	0.14366197183098592	0.14429530201342283	0.1964735516372796	0.14461538461538462	
Salmonella_typhimurium_A130	0.15306122448979592	0.06666666666666667	0.18777292576419213	0.11940298507462686	0.11140583554376658	0.16489361702127658	0.2076923076923077	0.0	0.12112676056338029	0.053691275167785234	0.10831234256926953	0.08	
Salmonella_typhimurium_D23580	0.19387755102040816	0.15833333333333333	0.19868995633187772	0.17164179104477612	0.21485411140583555	0.2074468085106383	0.17692307692307693	0.2644230769230769	0.0	0.12080536912751678	0.1964735516372796	0.12615384615384614	
Enterobacter_cloacae_NCTC_9394	0.15051020408163265	0.1111111111111111	0.15502183406113537	0.11691542288557213	0.15384615384615385	0.11702127659574468	0.1076923076923077	0.23317307692307693	0.10704225352112676	0.0	0.14357682619647355	0.11076923076923077	
Klebsiella_pneumoniae_RH201207	0.17346938775510204	0.10555555555555556	0.16593886462882096	0.12935323383084577	0.15119363395225463	0.11170212765957446	0.09743589743589744	0.2091346153846154	0.11267605633802817	0.09731543624161074	0.0	0.12	
Klebsiella_pneumoniae_Ecl8	0.20153061224489796	0.19722222222222222	0.1703056768558952	0.19651741293532338	0.2572944297082228	0.15691489361702127	0.14871794871794872	0.30528846153846156	0.16056338028169015	0.17785234899328858	0.24937027707808565	0.0	
