present/absent	Citrobacter_rodentium_ICC168	Escherichia_coli_UPEC_ST131	Escherichia_coli_9000	Escherichia_coli_ETEC_CS17	Escherichia_coli_ETEC_H10407	Salmonella_typhi_Ty2	Salmonella_enteritidis_P125109	Salmonella_typhimurium_SL1344	Salmonella_typhimurium_A130	Salmonella_typhimurium_D23580	Enterobacter_cloacae_NCTC_9394	Klebsiella_pneumoniae_RH201207	Klebsiella_pneumoniae_Ecl8
Citrobacter_rodentium_ICC168	0	790	3089	741	820	732	641	762	817	790	728	1223	897	
Escherichia_coli_UPEC_ST131	924	0	2958	405	561	781	694	787	850	820	779	1251	912	
Escherichia_coli_9000	2066	1801	0	1674	1780	1878	1777	1906	1930	1923	1626	2325	1990	
Escherichia_coli_ETEC_CS17	975	505	2931	0	474	808	704	810	868	842	778	1274	922	
Escherichia_coli_ETEC_H10407	974	581	2957	394	0	815	697	819	868	837	790	1234	944	
Salmonella_typhi_Ty2	995	910	3164	837	924	0	354	443	498	473	860	1305	1006	
Salmonella_enteritidis_P125109	990	909	3149	819	892	440	0	323	395	354	838	1328	986	
Salmonella_typhimurium_SL1344	943	834	3110	757	846	361	155	0	191	135	803	1274	929	
Salmonella_typhimurium_A130	1009	908	3145	826	906	427	238	202	0	127	836	1338	992	
Salmonella_typhimurium_D23580	965	861	3121	783	858	385	180	129	110	0	818	1300	952	
Enterobacter_cloacae_NCTC_9394	1438	1355	3359	1254	1346	1307	1199	1332	1354	1353	0	1563	1268	
Klebsiella_pneumoniae_RH201207	1029	923	3154	846	886	848	785	899	952	931	659	0	271	
Klebsiella_pneumoniae_Ecl8	1062	943	3178	853	955	908	802	913	965	942	723	630	0	
