HI# (TIGR)	result	SWISS-Prot name	accno	length	gene name	synonyms
HI0001	e1	G3P_HAEIN	P44304	339	gapA;	gapdh
HI0002	nd	LCFH_HAEIN	P44446	607	 	 
HI0003	nd	Y003_HAEIN	P44447	262	 	 
HI0004	e	YBEY_HAEIN	P71335	154	 	 
HI0005	*non	FDHD_HAEIN	P44449	270	fdhD	 
HI0006	nd	FDXG_HAEIN	P46448	1028	fdxG	 
HI0007	e2	FDXH_HAEIN	P44450	312	fdxH	 
HI0008	*non	FDXI_HAEIN	P44451	238	fdxI	 
HI0009	e	FDHE_HAEIN	P44452	302	fdhE	 
HI0010	e	RIMI_HAEIN	P44305	146	rimI	 
HI0011	se1	HOLD_HAEIN	P43750	134	holD	 
HI0012	non	RSMC_HAEIN	P44453	330	rsmC	 
HI0013	e	ERA_HAEIN	P43728	302	era	 
HI0014	e	RNC_HAEIN	P44441	227	rnc	 
HI0015	e	LEP_HAEIN	P44454	349	lepB	 
HI0016	non	LEPA_HAEIN	P43729	598	lepA	 
HI0017	non	YFID_HAEIN	P44455	127	 	 
HI0018	e1	UNG_HAEIN	P43731	219	ung	 
HI0019	non	YLEA_HAEIN	Q57163	474	 	 
HI0020	e	YBHI_HAEIN	Q57048	479	 	 
HI0021	nd	CIXG_HAEIN	P44458	465	citXG;	citG
HI0022	e1	CILA_HAEIN	P44459	500	citF	 
HI0023	e	CILB_HAEIN	P44460	291	citE	 
HI0024	*non	CILG_HAEIN	P44461	95	citD	 
HI0025	non	CITC_HAEIN	P44462	335	citC	 
HI0026	nd	LIPA_HAEIN	P44463	320	lipA	 
HI0027	e	LIPB_HAEIN	P44464	212	lipB	 
HI0028	se	YBED_HAEIN	P44465	92	 	 
HI0029	non	DACA_HAEIN	P44466	393	dacA	 
HI0030	e1	Y030_HAEIN	Q57092	287	 	 
HI0031	e2	RODA_HAEIN	P44468	371	mrdB;	rodA
HI0032	e1	PBP2_HAEIN	P44469	651	mrdA;	pbp2
HI0033	e2	YBEA_HAEIN	P44470	155	 	 
HI0034	se	YBEB_HAEIN	P44471	102	 	 
HI0035	e1	YIDE_HAEIN	P44472	551	 	 
HI0036	non	Y036_HAEIN	Q57335	592	 	 
HI0037	non	MREB_HAEIN	P44474	351	mreB	 
HI0038	e	MREC_HAEIN	P44475	351	mreC	 
HI0039	e1	MRED_HAEIN	P44476	162	mreD	 
HI0040	e	Y040_HAEIN	P43929	258	 	 
HI0041	e	EX3_HAEIN	P44318	267	xthA	 
HI0042	e1	Y042_HAEIN	P43930	224	 	 
HI0043	e	YCJF_HAEIN	P43931	354	 	 
HI0044	non	YCCA_HAEIN	P44477	220	 	 
HI0045	e	YTFJ_HAEIN	P44478	184	 	 
HI0046	nd	PHNA_HAEIN	P44479	120	phnA	 
HI0047	nd	ALKH_HAEIN	P44480	212	eda	 
HI0048	e1	Y048_HAEIN	P44481	285	 	 
HI0049	e1	KDGK_HAEIN	P44482	314	kdgK	 
HI0050	non	Y050_HAEIN	P44483	401	 	 
HI0051	non	Y051_HAEIN	P44484	165	 	 
HI0052	non	Y052_HAEIN	P71336	328	 	 
HI0053	non	Y053_HAEIN	Q57517	342	 	 
HI0054	non	UXUR_HAEIN	P44487	266	uxuR	 
HI0055	*non	UXUA_HAEIN	P44488	394	uxuA	 
HI0056	e	YGDQ_HAEIN	P43932	237	 	 
HI0057	nd	UVRC_HAEIN	P44489	609	uvrC	 
HI0058	e	KDSB_HAEIN	P44490	254	kdsB	 
HI0059	e	LPXK_HAEIN	P44491	332	lpxK	 
HI0060	non	MSBA_HAEIN	P44407	587	msbA;	msh-1
HI0061	e1	REC2_HAEIN	P44408	788	rec2;	rec-2
HI0062	nd	DKSA_HAEIN	P43758	145	dksA;	dsh-1
HI0063	e2	PCNB_HAEIN	P44439	452	pcnB	 
HI0064	nd	HPPK_HAEIN	P43777	160	folK	 
HI0065	nd	YJEE_HAEIN	P44492	158	 	 
HI0066	e1	AMIB_HAEIN	P44493	432	amiB	 
HI0067	e1	MUTL_HAEIN	P44494	629	mutL	 
HI0068	e1	MIAA_HAEIN	P44495	311	miaA;	trpX
HI0069	*non	GLNE_HAEIN	P44419	981	glnE	 
HI0070	non	RECN_HAEIN	P44496	558	recN	 
HI0071	e2	GRPE_HAEIN	P43732	198	grpE	 
HI0072	nd	PPNK_HAEIN	P44497	285	ppnK	 
HI0073	e	Y073_HAEIN	P43933	114	 	 
HI0074	non	Y074_HAEIN	P43934	146	 	 
HI0075	e2	NRDD_HAEIN	P43752	707	nrdD	 
HI0076	nd	TESB_HAEIN	P44498	286	tesB	 
HI0077	e	Y077_HAEIN	P43935	288	 	 
HI0078	e	SYC_HAEIN	P43816	459	cysS	 
HI0079	non	PPIB_HAEIN	P44499	169	ppiB	 
HI0080	e1	YIFN_HAEIN	P43936	143	 	 
HI0081	e	YJJV_HAEIN	P44500	262	 	 
HI0082	nd	Y082_HAEIN	P43937	88	 	 
HI0083	nd	Y083_HAEIN	P43938	71	 	 
HI0084	non	THIO_HAEIN	P43785	107	trxA;	trxM
HI0085	e1	DDH_HAEIN	P44501	331	ddh	 
HI0086	e	METB_HAEIN	P44502	369	metB	 
HI0087	e	THRC_HAEIN	P44503	425	thrC	 
HI0088	*non	KHSE_HAEIN	P44504	314	thrB	 
HI0089	e1	AKH_HAEIN	P44505	815	thrA	 
HI0090	e	YGGS_HAEIN	P44506	237	 	 
HI0091	e1	GRK_HAEIN	P44507	378	glxK	 
HI0092	e	Y092_HAEIN	Q57493	419	 	 
HI0093	e1	Y093_HAEIN	P44509	368	 	 
HI0094	se	Y094_HAEIN	P43939	106	 	 
HI0095	nd	Y095_HAEIN	Q57060	251	 	 
HI0096	e	Y096_HAEIN	P43940	191	 	 
HI0097	non	HITA_HAEIN	P35755	332	hitA;	fbp
HI0098	e1	HITB_HAEIN	P71338	506	hitB	 
HI0099	e	HITC_HAEIN	P44513	356	hitC	 
HI0100	nd	Y100_HAEIN	P43941	131	 	 
HI0101	nd	Y101_HAEIN	P43942	146	 	 
HI0102	e2	DAPE_HAEIN	P44514	377	dapE	 
HI0103	e1	YFFB_HAEIN	P44515	114	 	 
HI0104	non	HTPG_HAEIN	P44516	631	htpG	 
HI0105	non	YBGI_HAEIN	Q57354	251	 	 
HI0106	nd	SR54_HAEIN	P44518	462	ffh	 
HI0107	nd	YFJD_HAEIN	Q57017	420	 	 
HI0108	e	YJJP_HAEIN	P44520	297	 	 
HI0109	e	Y109_HAEIN	P43943	113	 	 
HI0110	nd	SYS_HAEIN	P43833	429	serS	 
HI0111	nd	GT_HAEIN	P44521	209	gst	 
HI0112	nd	Y112_HAEIN	P71339	98	 	 
HI0113	nd	HXC1_HAEIN	P44523	744	hxuC	 
HI0114	nd	Y114_HAEIN	P43944	38	 	 
HI0115	e2	Deleted	 	 	 	 
HI0115	e1	YCBY_HAEIN	P44524	711	 	 
HI0117	e	Pseudogene	 	 	 	 
HI0118	e	YGDL_HAEIN	Q57097	261	 	 
HI0119	e	ZNUA_HAEIN	P44526	337	znuA	 
HI0120	e	Y120_HAEIN	P43947	168	 	 
HI0121	e	MPL_HAEIN	P43948	453	mpl	 
HI0122	e	METC_HAEIN	P44527	396	metC	 
HI0123	e	PGSA_HAEIN	P44528	185	pgsA	 
HI0124	e	IPYR_HAEIN	P44529	176	ppa	 
HI0125	e1	YJCD_HAEIN	P44530	438	 	 
HI0126	e	AFUC_HAEIN	P44531	328	afuC	 
HI0127	nd	Deleted	 	 	 	 
HI0129	e	AFUB_HAEIN	Q57341	632	afuB	 
HI0131	e	Y131_HAEIN	P43951	346	 	 
HI0132	e1	URK_HAEIN	P44533	213	udk	 
HI0133	nd	DCD_HAEIN	P44534	195	dcd	 
HI0134	e	Y134_HAEIN	P43952	391	 	 
HI0135	e	YDEA_HAEIN	P44535	396	 	 
HI0136	e2	ENGA_HAEIN	P44536	504	engA	 
HI0137	e	DP3E_HAEIN	P43745	256	dnaQ	 
HI0138	nd	RNH_HAEIN	P43807	154	rnhA;	rnh
HI0139	non	OM21_HAEIN	P43839	359	ompP2	 
HI0140	e	NAGA_HAEIN	P44537	381	nagA	 
HI0141	e	NAGB_HAEIN	P44538	270	nagB	 
HI0142	se	NPL_HAEIN	P44539	293	nanA	 
HI0143	non	Y143_HAEIN	P44540	288	 	 
HI0144	non	YHCI_HAEIN	P44541	300	 	 
HI0145	non	YHCJ_HAEIN	P71340	228	 	 
HI0146	e1	Y146_HAEIN	P44542	329	 	 
HI0147	nd	Y147_HAEIN	P44543	633	 	 
HI0148	e	YJHT_HAEIN	P44544	379	 	 
HI0149	e	Y149_HAEIN	P43953	63	 	 
HI0150	non	HFLC_HAEIN	P44545	295	hflC	 
HI0151	non	HFLK_HAEIN	P44546	410	hflK	 
HI0152	e	Y152_HAEIN	P43954	235	 	 
HI0153	nd	Pseudogene	 	 	 	 
HI0154	se	ACP_HAEIN	P43709	76	acpP	 
HI0155	e	FABG_HAEIN	P43713	242	fabG	 
HI0156	e	FABD_HAEIN	P43712	312	fabD	 
HI0157	e	FABH_HAEIN	P43711	316	fabH	 
HI0158	nd	RL32_HAEIN	P44368	56	rpmF;	rpl32
HI0159	*non	YCED_HAEIN	P43790	174	 	 
HI0160	*non	DPSD_HAEIN	P43789	290	psd	 
HI0161	non	GSHR_HAEIN	P43783	456	gor	 
HI0162	nd	YAJG_HAEIN	P43782	199	 	 
HI0163	e	BOLA_HAEIN	P43780	103	bolA	 
HI0164	non	NQRA_HAEIN	P43955	447	nqrA	 
HI0166	non	NQRB_HAEIN	O05011	411	nqrB	 
HI0167	non	NQRC_HAEIN	P43957	244	nqrC	 
HI0168	non	NQRD_HAEIN	P43958	208	nqrD	 
HI0170	*non	NQRE_HAEIN	P71342	198	nqrE	 
HI0171	*non	NQRF_HAEIN	O05012	411	nqrF	 
HI0172	e	APBE_HAEIN	P44550	346	apbE	 
