EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
AB097150.1	0.0MB	5045	610	0.24	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae;Candidatus Phytoplasma; Candidatus Phytoplasma asteris.	Onion yellows phytoplasma	Onion yellows phytoplasma extrachromosomal DNA, complete sequence.
AB370334.1	0.0MB	1815	381	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A01 DNA, complete sequence.
AB370335.1	0.0MB	3524	803	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A02 DNA, complete sequence.
AB370336.1	0.0MB	8881	1821	0.42	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A03 DNA, complete sequence.
AB370337.1	0.1MB	65037	14359	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A04 DNA, complete sequence.
AE000511.1	1.7MB	1667867	321273	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 26695	Helicobacter pylori 26695, complete genome.
AE000512.1	1.9MB	1860725	436953	0.46	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Thermotoga maritima MSB8	Thermotoga maritima MSB8, complete genome.
AE000513.1	2.6MB	2648638	886497	0.67	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae;Deinococcus.	Deinococcus radiodurans R1	Deinococcus radiodurans R1 chromosome 1, complete sequence.
AE000516.2	4.4MB	4403837	1441348	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis CDC1551	Mycobacterium tuberculosis CDC1551, complete genome.
AE000520.1	1.1MB	1138011	302334	0.53	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Treponema pallidum subsp. pallidum str. Nichols	Treponema pallidum subsp. pallidum str. Nichols complete genome.
AE000657.1	1.6MB	1551335	338100	0.43	Bacteria; Aquificae; Aquificales; Aquificaceae; Aquifex.	Aquifex aeolicus VF5	Aquifex aeolicus VF5, complete genome.
AE000783.1	0.9MB	910724	129646	0.29	Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella.	Borrelia burgdorferi B31	Borrelia burgdorferi B31, complete genome.
AE001273.1	1.0MB	1042519	215404	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia trachomatis D/UW-3/CX	Chlamydia trachomatis D/UW-3/CX, complete genome.
AE001363.1	1.2MB	1230230	249244	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pneumoniae CWL029	Chlamydophila pneumoniae CWL029, complete genome.
AE001437.1	3.9MB	3940880	610982	0.31	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium acetobutylicum ATCC 824	Clostridium acetobutylicum ATCC 824, complete genome.
AE001439.1	1.6MB	1643831	320426	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori J99	Helicobacter pylori J99, complete genome.
AE001825.1	0.4MB	412348	137552	0.67	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae;Deinococcus.	Deinococcus radiodurans R1	Deinococcus radiodurans R1 chromosome 2, complete sequence.
AE002098.2	2.3MB	2272360	590161	0.52	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis MC58	Neisseria meningitidis MC58, complete genome.
AE002160.2	1.1MB	1072950	217093	0.40	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia muridarum str. Nigg	Chlamydia muridarum Nigg, complete genome.
AE002161.1	1.2MB	1229853	249834	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pneumoniae AR39	Chlamydophila pneumoniae AR39, complete genome.
AE003849.1	2.7MB	2679306	742984	0.53	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xylella.	Xylella fastidiosa 9a5c	Xylella fastidiosa 9a5c, complete genome.
AE003852.1	3.0MB	2961149	708931	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio cholerae O1 biovar eltor str. N16961 chromosome I, complete
AE003853.1	1.1MB	1072315	253583	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio cholerae O1 biovar eltor str. N16961 chromosome II, complete
AE004091.2	6.3MB	6264404	2066633	0.67	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1, complete genome.
AE004092.2	1.9MB	1852433	360067	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes M1 GAS	Streptococcus pyogenes M1 GAS, complete genome.
AE004439.1	2.3MB	2257487	462076	0.40	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Pasteurella.	Pasteurella multocida subsp. multocida str. Pm70	Pasteurella multocida subsp. multocida str. Pm70, complete genome.
AE004969.1	2.2MB	2153922	568286	0.53	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria gonorrhoeae FA 1090	Neisseria gonorrhoeae FA 1090, complete genome.
AE005174.2	5.5MB	5528445	1391726	0.50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli O157:H7 str. EDL933	Escherichia coli O157:H7 EDL933, complete genome.
AE005176.1	2.4MB	2365589	420487	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403, complete genome.
AE005672.3	2.2MB	2160842	430999	0.40	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pneumoniae TIGR4	Streptococcus pneumoniae TIGR4, complete genome.
AE005673.1	4.0MB	4016947	1347429	0.67	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales;Caulobacteraceae; Caulobacter.	Caulobacter crescentus CB15	Caulobacter crescentus CB15, complete genome.
AE005674.2	4.6MB	4607202	1167963	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Shigella.	Shigella flexneri 2a str. 301	Shigella flexneri 2a str. 301, complete genome.
AE006468.1	4.9MB	4857450	1268221	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete
AE006470.1	2.2MB	2154946	605261	0.57	Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum.	Chlorobium tepidum TLS	Chlorobium tepidum TLS, complete genome.
AE006914.1	1.3MB	1268755	207088	0.32	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	Rickettsia conorii str. Malish 7	Rickettsia conorii str. Malish 7, complete genome.
AE007317.1	2.0MB	2038615	406018	0.40	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pneumoniae R6	Streptococcus pneumoniae R6, complete genome.
AE007869.2	2.8MB	2841580	835436	0.59	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae;Rhizobium/Agrobacterium group; Agrobacterium;	Agrobacterium fabrum str. C58	Agrobacterium tumefaciens str. C58 circular chromosome, complete sequence.
AE007870.2	2.1MB	2075577	613577	0.59	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae;Rhizobium/Agrobacterium group; Agrobacterium;	Agrobacterium fabrum str. C58	Agrobacterium tumefaciens str. C58 linear chromosome, complete sequence.
AE008691.1	2.7MB	2689445	504663	0.38	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales;Thermoanaerobacteraceae; Caldanaerobacter.	Caldanaerobacter subterraneus subsp. tengcongensis MB4	Thermoanaerobacter tengcongensis MB4, complete genome.
AE008692.2	2.1MB	2056363	491408	0.46	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales;Sphingomonadaceae; Zymomonas.	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Zymomonas mobilis subsp. mobilis ZM4, complete genome.
AE008917.1	2.1MB	2117144	607001	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella melitensis bv. 1 str. 16M	Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence.
AE008918.1	1.2MB	1177787	338717	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella melitensis bv. 1 str. 16M	Brucella melitensis 16M chromosome II, complete sequence.
AE008922.1	5.1MB	5076188	1652127	0.65	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas campestris pv. campestris str. ATCC 33913	Xanthomonas campestris pv. campestris str. ATCC 33913, complete genome.
AE008923.1	5.2MB	5175554	1674018	0.65	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas axonopodis pv. citri str. 306	Xanthomonas axonopodis pv. citri str. 306, complete genome.
AE009440.1	1.2MB	1225935	248232	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pneumoniae TW-183	Chlamydophila pneumoniae TW-183, complete genome.
AE009442.1	2.5MB	2519802	659450	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xylella.	Xylella fastidiosa Temecula1	Xylella fastidiosa Temecula1, complete genome.
AE009948.1	2.2MB	2160267	383802	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae 2603V/R	Streptococcus agalactiae 2603V/R, complete genome.
AE009949.1	1.9MB	1895017	366288	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes MGAS8232	Streptococcus pyogenes MGAS8232, complete genome.
AE009951.2	2.2MB	2174500	286087	0.27	Bacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium.	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome.
AE009952.1	4.6MB	4600755	1101384	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Yersinia.	Yersinia pestis KIM10+	Yersinia pestis KIM10+, complete genome.
AE010300.2	4.3MB	4338762	763313	0.35	Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira.	Leptospira interrogans serovar Lai str. 56601	Leptospira interrogans serovar Lai str. 56601 chromosome I, complete
AE010301.2	0.4MB	359372	63523	0.35	Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira.	Leptospira interrogans serovar Lai str. 56601	Leptospira interrogans serovar Lai str. 56601 chromosome II, complete
AE013218.1	0.6MB	641454	82092	0.25	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Buchnera.	Buchnera aphidicola str. Sg (Schizaphis graminum)	Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome.
AE013598.1	4.9MB	4941439	1572666	0.64	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas oryzae pv. oryzae KACC 10331	Xanthomonas oryzae pv. oryzae KACC 10331, complete genome.
AE014073.1	4.6MB	4599354	1168009	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Shigella.	Shigella flexneri 2a str. 2457T	Shigella flexneri 2a str. 2457T, complete genome.
AE014074.1	1.9MB	1900521	365155	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes MGAS315	Streptococcus pyogenes MGAS315, complete genome.
