ID	name	function	coord	NPEQ	essentiality
SEN_1added		hypothetical protein	14446-14586	0.202851346998337	non-essential
SEN_2added		hypothetical protein	52073-52282	2.80227102068526	essential
SEN_3added		hypothetical protein	59661-59903	0.952297081992339	non-essential
SEN_4added	sgrT	Putative inhibitor of glucose uptake transporter SgrT	127966-128088	-0.465141555525145	non-essential
SEN_5added		hypothetical protein	128408-128689	0.26276601317191	non-essential
SEN_6added	yhdN_1	General stress protein 69	162057-162650	-0.412900058995442	non-essential
SEN_7added		hypothetical protein	231585-231791	-0.0500041650854211	non-essential
SEN_8added		hypothetical protein	295378-295632	-0.657924898986981	non-essential
SEN_9added		hypothetical protein	318433-318681	-1.12508353280767	non-essential
SEN_10added		hypothetical protein	319929-320171	-1.33577395112709	non-essential
SEN_11added		Integrase core domain protein	320718-320996	-0.0229611629895939	non-essential
SEN_12added		hypothetical protein	327214-327825	-1.11608407948562	non-essential
SEN_13added	intA_1	Prophage CP4-57 integrase	348517-348786	0.742683225517237	non-essential
SEN_14added		hypothetical protein	348799-349200	-0.057204966968983	non-essential
SEN_15added	ddrA_2	Diol dehydratase-reactivating factor alpha subunit	349804-349932	-0.564037836636319	non-essential
SEN_16added		hypothetical protein	390482-390613	-0.353706181936433	non-essential
SEN_17added		hypothetical protein	446568-446831	-0.485932810566955	non-essential
SEN_18added		Sel1 repeat protein	471958-472641	-0.43060397606532	non-essential
SEN_19added		hypothetical protein	531594-531719	1.03110408147081	non-essential
SEN_20added		hypothetical protein	549032-549136	2.08894802610799	essential
SEN_21added		hypothetical protein	593208-593480	0.217205894970766	non-essential
SEN_22added		hypothetical protein	594047-594205	-0.951569370909664	non-essential
SEN_23added		hypothetical protein	696868-697383	0.0466197614157184	non-essential
SEN_24added		hypothetical protein	738028-738132	-0.500680580652371	non-essential
SEN_25added		hypothetical protein	767357-767482	-0.229338467448555	non-essential
SEN_26added	slrP_2	E3 ubiquitin-protein ligase SlrP	827017-827673	-1.10559551703304	non-essential
SEN_27added	slrP_3	E3 ubiquitin-protein ligase SlrP	827763-828347	0.421142968426395	non-essential
SEN_28added	mntS	Small protein MntS	861057-861185	0.632457733385831	non-essential
SEN_29added	ybiV_1	Sugar phosphatase YbiV	866993-867442	-0.861764534631064	non-essential
SEN_30added		hypothetical protein	887356-887619	-1.3408886244471	non-essential
SEN_31added		hypothetical protein	888804-888995	-0.588465754367859	non-essential
SEN_32added	yliI_2	Soluble aldose sugar dehydrogenase YliI precursor	893361-893522	-1.20948693799564	non-essential
SEN_33added		Transposase IS66 family protein	1019052-1019300	0.13221468029599	non-essential
SEN_34added	agp_2	Glucose-1-phosphatase precursor	1081973-1082791	-0.207456600484949	non-essential
SEN_35added		hypothetical protein	1091975-1092271	0.436384353295117	non-essential
SEN_36added		hypothetical protein	1102393-1102611	-0.0906267648058388	non-essential
SEN_37added		hypothetical protein	1103664-1103753	0.574496727288135	non-essential
SEN_38added		Integrase core domain protein	1113577-1113942	-0.073327161555055	non-essential
SEN_39added		hypothetical protein	1183344-1183538	-0.335910286930688	non-essential
SEN_40added		hypothetical protein	1234500-1234637	-2.70091486763021	beneficial-loss
SEN_41added		hypothetical protein	1237431-1237598	0.905334757023533	non-essential
SEN_42added		Fibronectin type III protein	1241869-1242585	-0.267378516942456	non-essential
SEN_43added		hypothetical protein	1245970-1246098	1.27759917995903	non-essential
SEN_44added		hypothetical protein	1246367-1246936	-0.735074817608635	non-essential
SEN_45added	recE_1	Exodeoxyribonuclease 8	1246996-1247649	-0.0160126377260177	non-essential
SEN_46added		Phage terminase large subunit (GpA)	1249906-1250280	-0.362397271253508	non-essential
SEN_47added		Caudovirales tail fibre assembly protein	1251825-1252325	-0.782100808387324	non-essential
SEN_48added		hypothetical protein	1253881-1254003	-2.04521722742715	beneficial-loss
SEN_49added		hypothetical protein	1264189-1264422	0.31840960632857	non-essential
SEN_50added		hypothetical protein	1277206-1277313	1.87245625108828	essential
SEN_51added	appX	Putative cytochrome bd-II ubiquinol oxidase subunit AppX	1322596-1322685	-0.544704137028364	non-essential
SEN_52added		dsDNA-mimic protein	1381991-1382320	0.160131832927453	non-essential
SEN_53added		hypothetical protein	1383957-1384130	0.325150977697085	non-essential
SEN_54added		hypothetical protein	1406845-1406997	-0.593541842308544	non-essential
SEN_55added		hypothetical protein	1408567-1408695	-0.447300775322084	non-essential
SEN_56added	osmB	Osmotically-inducible lipoprotein B precursor	1416540-1416758	-2.20130616382338	beneficial-loss
SEN_57added		hypothetical protein	1417856-1418035	-0.807195849989816	non-essential
SEN_58added		hypothetical protein	1471897-1472013	0.555981181311425	non-essential
SEN_59added		hypothetical protein	1472182-1472322	0.696209855391675	non-essential
SEN_60added		hypothetical protein	1500563-1500658	-0.076862455645104	non-essential
SEN_61added		hypothetical protein	1501279-1502208	-0.467322712737661	non-essential
SEN_62added		hypothetical protein	1509099-1509224	-0.697302223774518	non-essential
SEN_63added	fdnG_2	Formate dehydrogenase, nitrate-inducible, major subunit precursor	1580943-1583354	0.1458918707838	non-essential
SEN_64added		hypothetical protein	1601893-1602174	0.221243665275945	non-essential
SEN_65added		hypothetical protein	1635125-1635220	0.415344817599284	non-essential
SEN_66added	malX	PTS system maltose- and glucose-specific EIICB component	1690228-1690464	0.533462695050815	non-essential
SEN_67added		hypothetical protein	1719905-1719994	1.79153499959867	essential
SEN_68added		hypothetical protein	1769969-1770184	0.227432925270379	non-essential
SEN_69added		hypothetical protein	1820869-1821117	0.283741264039812	non-essential
SEN_70added		hypothetical protein	1840864-1841079	0.299995725834041	non-essential
SEN_71added		hypothetical protein	1880976-1881083	1.41183840643029	non-essential
SEN_72added		hypothetical protein	1903505-1903678	0.793746554130783	non-essential
SEN_73added		hypothetical protein	1910822-1911028	-0.906754049607611	non-essential
SEN_74added		hypothetical protein	1964282-1964506	0.138254467943167	non-essential
SEN_75added		Transposase	2014820-2014969	1.93087169534074	essential
SEN_76added		hypothetical protein	2020229-2020378	-0.25192279744556	non-essential
SEN_77added		hypothetical protein	2039814-2040068	-0.487058315246905	non-essential
SEN_78added		hypothetical protein	2040905-2041186	-0.894901524202149	non-essential
SEN_79added		hypothetical protein	2048716-2048940	0.550221984291357	non-essential
SEN_80added		Helix-turn-helix	2050674-2050898	1.60712027734283	non-essential
SEN_81added	clpX_2	ATP-dependent Clp protease ATP-binding subunit ClpX	2051897-2052082	1.00070388244966	non-essential
SEN_82added		hypothetical protein	2054601-2054831	0.8126742349354	non-essential
SEN_83added		DnaJ central domain protein	2055742-2055918	0.146825597011765	non-essential
