"gene_id"	"path_id"	"path_name"
"SEN0717"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN1115"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN1667"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN1717"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN1762"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN2137"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN2389"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN2791"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN2911"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN2912"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN3526"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN3852"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN3871"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN3987"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN4341"	"md:set_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"SEN0717"	"md:set_M00002"	"Glycolysis, core module involving three-carbon compounds"
"SEN1115"	"md:set_M00002"	"Glycolysis, core module involving three-carbon compounds"
"SEN1667"	"md:set_M00002"	"Glycolysis, core module involving three-carbon compounds"
"SEN1762"	"md:set_M00002"	"Glycolysis, core module involving three-carbon compounds"
"SEN2791"	"md:set_M00002"	"Glycolysis, core module involving three-carbon compounds"
