BN373_33531	PF05053	Menin	GO:nucleus	GO:0005634	Menin
CS17_02899	PF07655	Secretin_N_2	GO:pilus assembly	GO:0009297	Secretin N-terminal domain
BN373_33531	PF07655	Secretin_N_2	GO:pilus assembly	GO:0009297	Secretin N-terminal domain
CS17_02899	PF07655	Secretin_N_2	GO:outer membrane	GO:0019867	Secretin N-terminal domain
BN373_33531	PF07655	Secretin_N_2	GO:outer membrane	GO:0019867	Secretin N-terminal domain
